"gamedate","year","season","gametype","team1","r1_before","score1","score2","team2","r2_before","E1","delta"
"2007-10-13",2007,"秋","東京六大学","早稲田",1723.6886868214442,0,1,"明治",1615.214330250619,0.6399929305908713,-21.463217053492055
"2007-10-14",2007,"秋","東京六大学","明治",1636.6775473041112,0,4,"早稲田",1702.225469767952,0.4135716253719199,-16.591553779741584
"2007-10-14",2007,"秋","東京六大学","法政",1513.349794718591,3,2,"慶應",1590.2739122825035,0.39874425420354487,19.52635781377125
"2007-10-15",2007,"秋","東京六大学","早稲田",1718.8170235476937,2,3,"明治",1620.0859935243695,0.6290755727941717,-20.91734916365708
"2007-10-20",2007,"秋","東京六大学","東大",1114.7081974209082,3,1,"立教",1442.7650785059343,0.1513737427128068,34.4672463441969
"2007-10-20",2007,"秋","東京六大学","法政",1532.8761525323623,9,1,"明治",1641.0033426880266,0.3591350318117579,31.19845230993894
"2007-10-21",2007,"秋","東京六大学","明治",1609.8048903780877,3,0,"法政",1564.0746048423011,0.5611684842227981,16.147061877131257
"2007-10-21",2007,"秋","東京六大学","立教",1408.2978321617375,4,1,"東大",1149.175443765105,0.7971197412956509,4.349499023488618
"2007-10-22",2007,"秋","東京六大学","東大",1144.8259447416165,1,7,"立教",1412.647331185226,0.19450569172939788,-7.819883755654258
"2007-10-22",2007,"秋","東京六大学","法政",1547.9275429651698,3,5,"明治",1625.951952255219,0.3962417472072918,-11.848020840201833
"2007-10-28",2007,"秋","東京六大学","早稲田",1697.8996743840366,0,1,"慶應",1570.7475544687322,0.6645753174474828,-22.69233639632263
"2007-10-29",2007,"秋","東京六大学","慶應",1593.4398908650548,0,2,"早稲田",1675.207337987714,0.3914164018478261,-11.60675357222855
