"gamedate","gametype","team1","score1","score2","team2"
"2002-10-13","東京六大学","法政",5,0,"東大"
"2002-10-14","東京六大学","立教",2,0,"明治"
"2002-10-19","東京六大学","慶應",3,4,"法政"
"2002-10-19","東京六大学","早稲田",2,0,"立教"
"2002-10-20","東京六大学","法政",6,2,"慶應"
"2002-10-20","東京六大学","立教",5,6,"早稲田"
"2002-10-27","東京六大学","東大",5,7,"明治"
"2002-10-27","東京六大学","法政",2,9,"立教"
"2002-10-28","東京六大学","明治",6,1,"東大"
"2002-10-28","東京六大学","立教",4,2,"法政"
"2002-11-02","東京六大学","慶應",2,4,"早稲田"
"2002-11-03","東京六大学","慶應",1,3,"明治"
"2002-11-03","東京六大学","慶應",5,6,"立教"
"2002-11-03","東京六大学","慶應",11,0,"東大"
"2002-11-03","東京六大学","慶應",3,4,"法政"
"2002-11-03","東京六大学","慶應",2,4,"早稲田"
"2002-11-03","東京六大学","早稲田",9,2,"東大"
"2002-11-03","東京六大学","早稲田",0,1,"法政"
"2002-11-03","東京六大学","早稲田",1,2,"法政"
"2002-11-03","東京六大学","早稲田",7,0,"明治"
"2002-11-03","東京六大学","早稲田",2,0,"立教"
"2002-11-03","東京六大学","早稲田",9,2,"慶應"
"2002-11-03","東京六大学","明治",2,0,"慶應"
"2002-11-03","東京六大学","明治",2,2,"法政"
"2002-11-03","東京六大学","明治",2,6,"早稲田"
"2002-11-03","東京六大学","明治",3,1,"立教"
"2002-11-03","東京六大学","明治",6,1,"東大"
"2002-11-03","東京六大学","東大",0,16,"早稲田"
"2002-11-03","東京六大学","東大",2,1,"立教"
"2002-11-03","東京六大学","東大",1,4,"慶應"
"2002-11-03","東京六大学","東大",1,11,"法政"
"2002-11-03","東京六大学","東大",5,7,"明治"
"2002-11-03","東京六大学","法政",1,2,"明治"
"2002-11-03","東京六大学","法政",4,5,"明治"
"2002-11-03","東京六大学","法政",2,7,"早稲田"
"2002-11-03","東京六大学","法政",5,0,"東大"
"2002-11-03","東京六大学","法政",6,2,"慶應"
"2002-11-03","東京六大学","法政",2,9,"立教"
"2002-11-03","東京六大学","立教",14,4,"東大"
"2002-11-03","東京六大学","立教",2,0,"慶應"
"2002-11-03","東京六大学","立教",5,2,"明治"
"2002-11-03","東京六大学","立教",2,0,"明治"
"2002-11-03","東京六大学","立教",5,6,"早稲田"
"2002-11-03","東京六大学","立教",4,2,"法政"
"2003-04-12","東京六大学","東大",0,10,"早稲田"
